Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
jardines artificiales;1;1;0;30;0.48;http://planreforma.com/blog/jardines-artificiales-interior-exterior/;0.41;0.09;0.56;538000;0.99,0.20,0.60,0.99,0.60,0.80,0.80,0.80,0.60,0.40,0.60,0.99
honorarios arquitecto;6;6;0;260;0.96;http://planreforma.com/blog/cuales-son-los-honorarios-de-un-arquitecto/;0.38;0.17;0.27;378000;0.99,0.81,0.66,0.66,0.53,0.44,0.81,0.81,0.99,0.81,0.99,0.99
suelo cocina;6;5;-1;260;0.91;http://planreforma.com/blog/que-suelo-elegir-para-una-cocina/;0.38;0.16;0.28;32700000;0.81,0.66,0.81,0.66,0.81,0.66,0.81,0.81,0.81,0.66,0.99,0.99
precio construir casa;5;5;0;260;0.44;http://planreforma.com/calculador-obra_nueva/;0.38;0.08;0.73;16800000;0.35,0.44,0.44,0.28,0.54,0.81,0.67,0.67,0.67,0.67,0.99,0.67
cerrar terraza;5;5;0;260;2.23;http://planreforma.com/blog/cuanto-cuesta-construir-un-cerramiento-en-la-terraza-beneficiate-ademas-de-las-ayudas-que-da-el-gobierno/;0.38;0.40;0.73;14400000;0.82,0.54,0.54,0.67,0.54,0.54,0.67,0.82,0.82,0.67,0.82,0.99
presupuesto construccion casa;3;4;1;140;0.90;http://planreforma.com/calculador-obra_nueva/;0.36;0.15;0.87;620000;0.82,0.65,0.99,0.65,0.65,0.82,0.99,0.65,0.65,0.65,0.82,0.82
presupuesto reformas;3;0;0;140;4.65;http://planreforma.com/presupuesto-reforma/;0.36;0.82;0.80;23200000;0.82,0.82,0.65,0.99,0.82,0.82,0.65,0.82,0.65,0.53,0.65,0.82
presupuestos para reformas;3;3;0;140;3.52;http://planreforma.com/;0.36;0.62;0.64;11000000;0.43,0.19,0.33,0.67,0.99,0.52,0.52,0.81,0.67,0.67,0.99,0.81
reformas piso;11;0;0;260;3.65;http://planreforma.com/blog/precio-de-la-reforma-de-un-piso-de-100-m2/;0.35;0.62;0.81;10400000;0.82,0.99,0.36,0.12,0.12,0.06,0.67,0.44,0.15,0.24,0.36,0.15
terrazas urbanas;2;2;0;90;2.76;http://planreforma.com/blog/decoracion-feng-shui-terrazas-urbanas/;0.34;0.45;0.11;5280000;0.82,0.65,0.99,0.82,0.65,0.41,0.53,0.28,0.28,0.18,0.28,0.53
reforma tu casa;2;4;2;90;1.82;http://planreforma.com/calculador-reforma/;0.34;0.29;0.87;922000;0.99,0.64,0.50,0.79,0.64,0.64,0.79,0.64,0.50,0.36,0.79,0.79
presupuesto de reformas;2;2;0;90;3.91;http://planreforma.com/;0.34;0.64;0.88;23800000;0.82,0.65,0.53,0.99,0.41,0.28,0.65,0.28,0.28,0.53,0.28,0.41
presupuesto reforma vivienda;2;2;0;90;2.84;http://planreforma.com/;0.34;0.46;0.93;12300000;0.41,0.41,0.53,0.28,0.41,0.28,0.28,0.41,0.65,0.53,0.82,0.99
cuanto cuesta construir una casa;12;0;0;880;0.47;http://planreforma.com/blog/cuanto-cuesta-construir-una-casa-utiliza-el-calculador-de-obra-nueva-de-plan-reforma-para-saberlo/;0.33;0.07;0.51;1010000;0.72,0.59,0.72,0.59,0.72,0.99,0.99,0.99,0.88,0.72,0.88,0.88
precio construccion casa;6;7;1;210;0.49;http://planreforma.com/calculador-obra_nueva/;0.30;0.07;0.78;10700000;0.81,0.81,0.99,0.81,0.66,0.53,0.44,0.44,0.53,0.34,0.66,0.81
aluminio o pvc;5;5;0;210;0.63;http://planreforma.com/blog/ventanas-de-aluminio-o-de-pvc-que-elegir/;0.30;0.09;0.44;1840000;0.54,0.44,0.44,0.44,0.44,0.36,0.54,0.67,0.67,0.54,0.67,0.99
construir casa;7;10;3;260;0.79;http://planreforma.com/calculador-obra_nueva/;0.30;0.11;0.84;67000000;0.82,0.54,0.67,0.54,0.54,0.67,0.54,0.54,0.67,0.54,0.99,0.54
precio reforma integral piso;11;10;-1;210;2.56;http://planreforma.com/presupuesto-reforma/;0.28;0.35;0.76;339000;0.28,0.10,0.18,0.18,0.28,0.67,0.67,0.67,0.82,0.54,0.99,0.67
precio reforma baño;8;10;2;320;1.74;http://planreforma.com/blog/cuanto-cuesta-reformar-un-bano/;0.28;0.23;0.85;7930000;0.82,0.67,0.67,0.67,0.67,0.54,0.67,0.67,0.82,0.67,0.99,0.99
reformas de viviendas;9;8;-1;320;4.17;http://planreforma.com/;0.28;0.56;0.86;10600000;0.54,0.28,0.36,0.36,0.44,0.54,0.99,0.54,0.44,0.54,0.44,0.28
presupuesto para reformar una casa;1;0;0;20;2.41;http://planreforma.com/presupuesto-reforma/;0.27;0.31;0.89;670000;0.99,0.67,0.99,0.99,0.33,0.33,0.67,0.33,0.33,0.33,0.33,0.33
