electricistas zaragoza,7,6,-1,260,4,http://www.habitissimo.es/empresas/electricistas/zaragoza,0.01,0.06,0.95,532000,"0.54,0.99,0.81,0.67,0.35,0.35,0.28,0.35,0.35,0.35,0.54,0.44",habitissimo
reformas tenerife,11,11,0,320,1.51,http://www.habitissimo.es/empresas/reformas/santa-cruz-de-tenerife,0.02,0.03,0.63,765000,"0.36,0.36,0.24,0.19,0.28,0.44,0.82,0.99,0.28,0.36,0.36,0.19",habitissimo
reformas tenerife,9,9,0,320,1.51,http://precio.habitissimo.es/reformas-viviendas/santa-cruz-de-tenerife,0.01,0.02,0.63,765000,"0.36,0.36,0.24,0.19,0.28,0.44,0.82,0.99,0.28,0.36,0.36,0.19",habitissimo
reformas tenerife,12,12,0,320,1.51,http://www.habitissimo.es/empresas/reformas-viviendas/santa-cruz-de-tenerife,0,0,0.63,765000,"0.36,0.36,0.24,0.19,0.28,0.44,0.82,0.99,0.28,0.36,0.36,0.19",habitissimo
reformas tenerife,13,13,0,320,1.51,http://www.habitissimo.es/presupuestos/reformas/santa-cruz-de-tenerife,0,0,0.63,765000,"0.36,0.36,0.24,0.19,0.28,0.44,0.82,0.99,0.28,0.36,0.36,0.19",habitissimo
fontanero barcelona,7,7,0,320,7.05,http://precio.habitissimo.es/fontaneros/barcelona,0.02,0.14,0.93,418000,"0.54,0.81,0.67,0.54,0.44,0.99,0.99,0.67,0.67,0.67,0.44,0.44",habitissimo
acuchillar parquet,16,16,0,1600,2.52,http://www.habitissimo.es/presupuestos/lijar-acuchillar-y-barnizar-parquet-completo,0.01,0.03,0.78,82000,"0.84,0.68,0.84,0.84,0.84,0.84,0.99,0.84,0.68,0.46,0.68,0.53",habitissimo
acuchillar parquet precio,6,6,0,210,2.38,http://www.habitissimo.es/presupuestos/acuchillado-parquet,0.01,0.03,0.77,42000,"0.12,0.36,0.81,0.28,0.12,0.07,0.24,0.19,0.28,0.19,0.81,0.99",habitissimo
acuchillar parquet precio,18,19,1,210,2.38,http://tumanitas.com/trabajos-de/acuchillar-y-barnizar-parquet,0.01,0.03,0.77,42000,"0.12,0.36,0.81,0.28,0.12,0.07,0.24,0.19,0.28,0.19,0.81,0.99",tumanitas
acuchillar parquet precio,14,13,-1,210,2.38,http://www.hazmeprecio.com/presupuesto/acuchillar-parquet,0.08,0.14,0.77,42000,"0.12,0.36,0.81,0.28,0.12,0.07,0.24,0.19,0.28,0.19,0.81,0.99",hazmeprecio
acuchillar parquet precio,3,4,1,210,2.38,http://tenders.es/presupuesto/madrid/mostoles/acuchillar-y-barnizar-parquet-en-un-piso-de-80-m2_4096/,1.11,2.17,0.77,42000,"0.12,0.36,0.81,0.28,0.12,0.07,0.24,0.19,0.28,0.19,0.81,0.99",tenders
acuchillar parquet precio,11,10,-1,210,2.38,http://blog.redformas.es/precio-acuchillar-parquet/,1.19,1.26,0.77,42000,"0.12,0.36,0.81,0.28,0.12,0.07,0.24,0.19,0.28,0.19,0.81,0.99",redformas
pintores zaragoza,7,6,-1,260,1.09,http://www.habitissimo.es/empresas/pintores/zaragoza,0.01,0.01,0.43,660000,"0.54,0.82,0.82,0.99,0.54,0.54,0.67,0.44,0.54,0.54,0.67,0.99",habitissimo
