Keyword,Position,"Previous Position","Search Volume",CPC,Url,"Traffic (%)","Traffic Cost (%)",Competition,"Number of Results",Trends,Timestamp,geo
"presupuestos reformas",9,9,260,4.38,http://www.hazmeprecio.com/,0.46,1.41,0.86,12100000,"0.99,0.81,0.99,0.99,0.53,0.53,0.81,0.99,0.81,0.66,0.81,0.81",1428808479,
"acristalar terraza",5,5,140,1.52,http://www.hazmeprecio.com/presupuesto/acristalar-terraza,0.41,0.43,0.81,23000,"0.44,0.34,0.22,0.28,0.28,0.34,0.22,0.34,0.44,0.44,0.99,0.99",1428400338,
"presupuesto obra",5,5,140,1.88,http://www.hazmeprecio.com/presupuesto/obra,0.41,0.54,0.73,43500000,"0.65,0.65,0.82,0.99,0.82,0.53,0.82,0.82,0.82,0.65,0.99,0.82",1428728332,
"hormigon pulido precio",11,11,140,1.75,http://www.hazmeprecio.com/presupuesto/hormigon-pulido,0.39,0.47,0.86,94000,"0.81,0.81,0.99,0.81,0.99,0.81,0.24,0.24,0.52,0.52,0.67,0.81",1428179255,
"presupuesto instalacion electrica",11,12,140,2.04,http://www.hazmeprecio.com/presupuesto/instalacion-electrica,0.39,0.55,0.47,282000,"0.99,0.43,0.67,0.67,0.81,0.33,0.43,0.67,0.43,0.52,0.81,0.81",1428832660,
"presupuesto aire acondicionado",11,10,140,2.87,http://www.hazmeprecio.com/presupuesto/aire-acondicionado,0.39,0.78,0.91,747000,"0.65,0.54,0.65,0.99,0.81,0.42,0.54,0.35,0.35,0.27,0.42,0.27",1428123476,
"vallado de parcelas",2,2,50,0.51,http://www.hazmeprecio.com/presupuesto/vallar-parcela,0.38,0.13,0.71,397000,"0.99,0.71,0.99,0.99,0.99,0.71,0.43,0.56,0.56,0.43,0.43,0.28",1428717348,
"vallado de fincas precio",2,2,50,0.28,http://www.hazmeprecio.com/presupuesto/vallar-finca,0.38,0.07,0.67,218000,"0.18,0.36,0.45,0.27,0.18,0.27,0.45,0.36,0.82,0.64,0.99,0.82",1428289617,
"cmi casas modulares",2,4,50,0.64,http://www.hazmeprecio.com/empresa/cmi-casas-modulares,0.38,0.17,0.46,1000,"0.12,0.15,0.15,0.19,0.15,0.99,0.19,0.19,0.15,0.12,0.15,0.12",1428165907,
"puertas blindadas barcelona",9,16,210,4.09,http://www.hazmeprecio.com/presupuesto/puertas-blindadas/barcelona,0.37,1.06,0.85,333000,"0.81,0.53,0.66,0.66,0.81,0.53,0.81,0.53,0.66,0.66,0.81,0.99",1428247457,
"poner tarima flotante precio",3,3,70,1.06,http://www.hazmeprecio.com/presupuesto/instalar-tarima-flotante,0.37,0.27,0.84,143000,"0.50,0.28,0.36,0.28,0.28,0.21,0.21,0.36,0.99,0.50,0.64,0.50",1428174832,
"precio m2 hormigon pulido",3,3,70,1.39,http://www.hazmeprecio.com/presupuesto/hormigon-pulido,0.37,0.36,0.78,43000,"0.99,0.44,0.78,0.56,0.78,0.78,0.78,0.78,0.78,0.78,0.99,0.99",1428673332,
"techos de pladur precios",3,6,70,0.59,http://www.hazmeprecio.com/presupuesto/techo-de-pladur,0.37,0.15,0.28,310000,"0.82,0.27,0.64,0.64,0.82,0.64,0.64,0.64,0.82,0.64,0.82,0.99",1428697652,
"armarios a medida precios",9,9,210,0.55,http://www.hazmeprecio.com/presupuesto/armarios-a-medida,0.37,0.14,0.90,604000,"0.44,0.36,0.44,0.36,0.44,0.44,0.44,0.67,0.54,0.67,0.99,0.82",1428673069,
"presupuestos reformas online",3,3,70,4.49,http://www.hazmeprecio.com/,0.37,1.16,0.75,643000,"0.99,0.41,0.65,0.53,0.18,0.06,0.24,0.24,0.18,0.24,0.28,0.24",1428759175,
"cerramientos de aluminio precios",4,4,90,1.33,http://www.hazmeprecio.com/presupuesto/cerramiento-aluminio,0.37,0.34,0.89,445000,"0.65,0.53,0.28,0.28,0.65,0.41,0.41,0.41,0.82,0.53,0.99,0.53",1428356590,
"cuanto cuesta poner tarima flotante",3,3,70,1.82,http://www.hazmeprecio.com/presupuesto/instalar-tarima-flotante,0.37,0.47,0.64,7000,"0.19,0.10,0.19,0.24,0.24,0.24,0.24,0.33,0.52,0.52,0.99,0.67",1428717036,
"pavimento impreso tarragona",12,11,480,0.96,http://www.hazmeprecio.com/presupuesto/hormigon-impreso/tarragona,0.37,0.24,0.95,57000,"0.04,0.01,0.02,0.05,0.11,0.68,0.68,0.99,0.37,0.25,0.68,0.99",1428295750,
"carpinteria madera sevilla",6,8,110,0.81,http://www.hazmeprecio.com/empresas/carpinteria-de-madera/sevilla/sevilla,0.32,0.18,0.45,419000,"0.99,0.12,0.06,0.07,0.03,0.07,0.06,0.07,0.07,0.06,0.06,0.04",1428198462,
