Keyword,Position,Previous Position,Search Volume,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp,geo class,relevant class
fregaderos teka,17,17,2900,0.26,http://www.habitissimo.es/teka/catalogos/teka-fregaderos,0.01,0.00,0.97,405000,"0.99,0.81,0.81,0.81,0.99,0.81,0.99,0.99,0.99,0.81,0.99,0.99",1428442948,nogeo,norelevant
tumanitas,1,1,2400,0.05,http://tumanitas.com/,33.35,1.27,0.13,323000,"0.99,0.83,0.83,0.83,0.66,0.66,0.66,0.66,0.66,0.55,0.83,0.83",1428447196,nogeo,norelevant
electricista,11,11,2400,3.19,http://rbtelectricistasmadrid.es/,11.54,3.42,0.77,12300000,"0.53,0.44,0.53,0.53,0.53,0.44,0.99,0.81,0.67,0.67,0.81,0.67",1429579995,nogeo,relevant
fontanero,12,12,2400,3.61,http://www.hrzfontanerosmadrid.com/,6.62,2.55,0.73,1250000,"0.83,0.83,0.83,0.99,0.99,0.66,0.83,0.99,0.99,0.99,0.99,0.99",1429579995,nogeo,relevant
fontanero,13,13,2400,3.61,http://www.hrzfontanerosmadrid.com/fontanero-urgente.php,4.58,1.77,0.73,1250000,"0.83,0.83,0.83,0.99,0.99,0.66,0.83,0.99,0.99,0.99,0.99,0.99",1429579995,nogeo,relevant
coaatmu,2,2,2400,0.00,http://www.habitissimo.es/certificaciones/colegiado-coaatmu,0.53,0.00,0.00,9000,"0.99,0.99,0.83,0.83,0.83,0.34,0.83,0.83,0.66,0.66,0.66,0.66",1428788523,nogeo,norelevant
baeza sa,3,4,2400,2.04,http://www.habitissimo.es/baeza-sa-granada,0.36,0.71,0.01,581000,"0.99,0.99,0.99,0.99,0.99,0.66,0.66,0.83,0.83,0.55,0.55,0.66",1428347104,geo,norelevant
baeza sa,4,3,2400,2.04,http://www.habitissimo.es/baeza-sa-sevilla,0.28,0.55,0.01,581000,"0.99,0.99,0.99,0.99,0.99,0.66,0.66,0.83,0.83,0.55,0.55,0.66",1428347104,geo,norelevant
funnatic,6,6,2400,0.03,http://www.habitissimo.es/funnatic-electrodomesticos-tienda-on-line,0.20,0.00,0.10,148000,"0.99,0.99,0.99,0.99,0.99,0.67,0.99,0.99,0.99,0.99,0.99,0.67",1428119541,nogeo,norelevant
leroy merlin valladolid,11,10,2400,0.19,http://www.habitissimo.es/leroy-merlin-valladolid,0.19,0.03,0.01,245000,"0.66,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.99,0.83,0.83,0.66",1428160760,geo,norelevant
pergo,7,7,2400,0.30,http://www.habitissimo.es/pergo,0.16,0.04,0.24,2820000,"0.83,0.66,0.83,0.83,0.66,0.55,0.83,0.83,0.83,0.66,0.83,0.99",1428110863,nogeo,norelevant
duscholux,9,9,2400,0.15,http://www.habitissimo.es/duscholux,0.12,0.01,0.01,502000,"0.99,0.83,0.83,0.83,0.83,0.66,0.99,0.99,0.83,0.66,0.83,0.99",1428419897,nogeo,norelevant
pintar azulejos,10,10,2400,0.40,http://preguntas.habitissimo.es/pregunta/pintar-azulejos-de-bano,0.12,0.04,0.17,667000,"0.83,0.66,0.66,0.83,0.83,0.83,0.83,0.83,0.99,0.66,0.99,0.99",1428165292,nogeo,norelevant
kommerling,9,0,2400,0.37,http://www.habitissimo.es/kommerling/distribuidores/madrid,0.12,0.04,0.10,434000,"0.83,0.83,0.83,0.66,0.66,0.45,0.83,0.83,0.83,0.66,0.99,0.99",1428274195,nogeo,norelevant
duscholux,13,0,2400,0.15,http://www.habitissimo.es/duscholux/distribuidores/vizcaya,0.03,0.00,0.01,502000,"0.99,0.83,0.83,0.83,0.83,0.66,0.99,0.99,0.83,0.66,0.83,0.99",1428419897,nogeo,norelevant
deshumidificador casero,14,14,2400,0.38,http://www.habitissimo.es/ideas/37685,0.02,0.01,0.56,58000,"0.07,0.04,0.03,0.05,0.05,0.07,0.12,0.23,0.81,0.99,0.67,0.36",1428313905,nogeo,norelevant
bauhaus girona,16,16,2400,0.54,http://www.habitissimo.es/bauhaus-girona,0.02,0.01,0.01,94000,"0.67,0.81,0.81,0.99,0.53,0.44,0.44,0.53,0.67,0.99,0.99,0.67",1428502028,geo,norelevant
estuco veneciano,15,0,2400,0.17,http://preguntas.habitissimo.es/pregunta/quitar-estuco-veneciano,0.02,0.00,0.11,340000,"0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.66,0.99,0.83",1428683555,nogeo,norelevant
climalit,15,14,2400,0.80,http://preguntas.habitissimo.es/pregunta/instalar-gatera-en-ventanal-climalit,0.02,0.01,0.20,718000,"0.99,0.83,0.99,0.83,0.83,0.55,0.83,0.99,0.99,0.83,0.99,0.99",1428837031,nogeo,norelevant
pinturas andalucia,15,13,2400,1.37,http://www.habitissimo.es/pinturas-andalucia-1,0.02,0.02,0.01,435000,"0.83,0.83,0.99,0.83,0.83,0.66,0.83,0.83,0.83,0.66,0.83,0.83",1428289773,nogeo,norelevant
reformas barcelona,17,20,2400,3.73,http://precio.habitissimo.es/reformas/barcelona,0.01,0.05,0.85,15900000,"0.99,0.67,0.81,0.67,0.44,0.36,0.53,0.67,0.67,0.44,0.53,0.53",1428232495,geo,relevant
