Keyword,Position,Previous Position,Search Volume,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp,geo class,relevant class
reformas de piscinas,3,3,40,2.19,http://precio.habitissimo.es/reformas-piscinas,0.00,0.01,0.94,987000,"0.71,0.99,0.71,0.28,0.28,0.43,0.43,0.28,0.43,0.43,0.71,0.99",1428247275,nogeo,relevant
calefaccion madrid,3,2,40,2.83,http://www.habitissimo.es/empresas/calefaccion/madrid,0.00,0.01,0.94,1420000,"0.27,0.36,0.18,0.18,0.18,0.18,0.99,0.64,0.64,0.27,0.36,0.45",1428750548,geo,relevant
suelos de parquet flotante,3,3,40,0.92,http://preguntas.habitissimo.es/pregunta/cual-es-la-diferencia-entre-suelo-laminado-y-tarima-flotante,0.00,0.00,0.79,482000,"0.11,0.22,0.99,0.78,0.44,0.22,0.22,0.33,0.56,0.33,0.78,0.44",1428510957,nogeo,relevant
albañiles zaragoza,3,4,40,1.22,http://www.habitissimo.es/presupuestos/albaniles/zaragoza,0.00,0.00,0.93,407000,"0.71,0.56,0.43,0.28,0.56,0.99,0.43,0.28,0.99,0.56,0.71,0.56",1428818843,geo,relevant
pintores castellon,3,3,40,0.94,http://www.habitissimo.es/empresas/pintores/castellon,0.00,0.00,0.94,306000,"0.99,0.56,0.56,0.43,0.71,0.28,0.56,0.43,0.43,0.28,0.56,0.43",1428092509,geo,relevant
construccion de naves,3,3,40,0.51,http://precio.habitissimo.es/construccion-naves-industriales,0.00,0.00,0.66,9350000,"0.80,0.40,0.99,0.40,0.60,0.60,0.60,0.99,0.40,0.80,0.99,0.99",1428156387,nogeo,norelevant
toldos sant cugat,3,3,40,0.38,http://www.habitissimo.es/presupuestos/toldos/barcelona/sant-cugat-del-valles,0.00,0.00,0.40,114000,"0.80,0.99,0.99,0.99,0.99,0.60,0.60,0.40,0.99,0.20,0.60,0.40",1428477707,geo,relevant
pladur asturias,3,1,40,0.23,http://www.habitissimo.es/empresas/pladur/asturias,0.00,0.00,0.10,411000,"0.99,0.80,0.20,0.40,0.80,0.60,0.40,0.80,0.99,0.80,0.99,0.80",1428668897,geo,norelevant
fotos de garajes,3,3,40,0.00,http://fotos.habitissimo.es/puertas-garaje,0.00,0.00,0.02,1200000,"0.71,0.99,0.43,0.56,0.28,0.43,0.43,0.43,0.71,0.56,0.99,0.71",1428511284,nogeo,norelevant
estufas sin humo,3,3,40,0.21,http://preguntas.habitissimo.es/pregunta/quiero-instalar-una-chimenea-en-mi-casa-pero-no-tengo-salida-de-humo,0.00,0.00,0.82,164000,"0.18,0.18,0.09,0.09,0.09,0.09,0.27,0.36,0.99,0.82,0.82,0.27",1428399993,nogeo,norelevant
ebanistas en madrid,3,3,40,0.53,http://www.habitissimo.es/empresas/ebanistas/madrid,0.00,0.00,0.92,263000,"0.71,0.28,0.28,0.99,0.99,0.71,0.71,0.56,0.71,0.56,0.56,0.28",1428597063,geo,norelevant
toldos en fuengirola,3,3,40,0.56,http://www.habitissimo.es/presupuestos/toldos/malaga/fuengirola,0.00,0.00,0.46,124000,"0.56,0.44,0.99,0.78,0.44,0.33,0.56,0.44,0.44,0.33,0.33,0.56",1428247369,geo,relevant
mudanzas la esmeralda,3,3,40,0.00,http://www.habitissimo.es/mudanzas-la-esmeralda,0.00,0.00,0.84,330000,"0.99,0.80,0.99,0.99,0.80,0.60,0.60,0.60,0.60,0.60,0.60,0.80",1428132160,nogeo,norelevant
piscina precios,3,3,40,0.44,http://precio.habitissimo.es/construccion-piscinas,0.00,0.00,1.00,122000000,"0.21,0.21,0.28,0.50,0.99,0.28,0.21,0.14,0.14,0.07,0.14,0.14",1428323333,nogeo,norelevant
lacado puertas,3,4,40,0.79,http://preguntas.habitissimo.es/pregunta/lacar-puertas-de-madera-y-sus-marcos,0.00,0.00,0.80,638000,"0.60,0.80,0.80,0.60,0.99,0.99,0.60,0.80,0.99,0.60,0.99,0.99",1428242592,nogeo,norelevant
puertas con vidrieras,3,3,40,0.15,http://www.habitissimo.es/puertas-vidrieras_s,0.00,0.00,0.49,475000,"0.56,0.43,0.28,0.43,0.43,0.56,0.99,0.56,0.71,0.56,0.56,0.56",1428462890,nogeo,norelevant
empresas reformas sevilla,3,3,40,2.33,http://www.habitissimo.es/empresas/reformas/sevilla,0.00,0.01,0.90,869000,"0.56,0.44,0.44,0.33,0.33,0.44,0.33,0.22,0.99,0.44,0.56,0.56",1428214319,geo,relevant
puertas garaje madrid,3,3,40,0.83,http://www.habitissimo.es/presupuestos/puertas-garaje/madrid,0.00,0.00,0.87,614000,"0.60,0.40,0.99,0.99,0.60,0.60,0.80,0.80,0.80,0.80,0.60,0.40",1428765720,geo,norelevant
cocinas reformas,3,3,40,1.43,http://fotos.habitissimo.es/reformas-cocinas,0.00,0.00,0.82,1060000,"0.56,0.28,0.71,0.28,0.43,0.71,0.99,0.71,0.56,0.56,0.99,0.71",1428300182,nogeo,relevant
hormigón impreso precio m2,3,3,40,1.71,http://preguntas.habitissimo.es/pregunta/cuanto-costaria-poner-hormigon-impreso-en-20-m2,0.00,0.00,0.85,78000,"0.43,0.28,0.28,0.14,0.28,0.99,0.71,0.56,0.99,0.14,0.56,0.56",1428251889,nogeo,norelevant
precio reforma,3,3,40,2.37,http://precio.habitissimo.es/reformas-viviendas,0.00,0.01,0.74,46100000,"0.43,0.43,0.43,0.56,0.28,0.56,0.71,0.56,0.43,0.71,0.71,0.99",1428524445,nogeo,relevant
pintores en sabadell,3,3,40,1.94,http://www.habitissimo.es/empresas/pintores/barcelona/sabadell,0.00,0.01,0.95,245000,"0.28,0.99,0.36,0.21,0.14,0.14,0.21,0.14,0.36,0.21,0.14,0.36",1428110379,geo,relevant
sax online,3,10,40,0.00,http://www.habitissimo.es/presupuestos/carpinteros/alicante/sax,0.00,0.00,0.15,24500000,"0.78,0.78,0.99,0.99,0.78,0.11,0.33,0.33,0.22,0.11,0.11,0.22",1428165115,geo,norelevant
reforma integral cocina,3,3,40,2.63,http://precio.habitissimo.es/reforma-integral-cocina,0.00,0.01,0.83,469000,"0.44,0.44,0.44,0.44,0.33,0.22,0.44,0.22,0.33,0.99,0.44,0.56",1428261334,nogeo,relevant
cierre de aluminio,3,6,40,0.47,http://www.habitissimo.es/presupuestos/carpinteria-aluminio/sevilla,0.00,0.00,0.34,1600000,"0.43,0.56,0.56,0.71,0.56,0.28,0.43,0.71,0.71,0.43,0.71,0.99",1428087724,nogeo,norelevant
reformas madrid centro,3,3,40,4.33,http://www.habitissimo.es/reformasmadridcentro-com,0.00,0.02,0.74,769000,"0.18,0.06,0.99,0.41,0.18,0.12,0.18,0.06,0.24,0.18,0.41,0.24",1428746224,geo,relevant
decoracion de cafeterias modernas,3,3,40,0.71,http://www.habitissimo.es/ideas/como-decorar-una-cafeteria-moderna,0.00,0.00,0.73,369000,"0.71,0.43,0.14,0.28,0.28,0.28,0.71,0.99,0.99,0.56,0.99,0.56",1428360400,nogeo,norelevant
puertas plegables valencia,3,3,40,0.47,http://www.habitissimo.es/presupuestos/puertas-plegables/valencia,0.00,0.00,0.67,118000,"0.99,0.80,0.60,0.80,0.20,0.60,0.40,0.80,0.80,0.40,0.99,0.99",1428342672,geo,norelevant
empresas de mantenimiento en malaga,3,3,40,1.27,http://www.habitissimo.es/empresas/mantenimiento-comunidades/malaga,0.00,0.00,0.91,746000,"0.43,0.43,0.43,0.71,0.56,0.43,0.99,0.56,0.99,0.28,0.99,0.43",1428247488,geo,norelevant
chimeneas sin tiro,3,3,40,0.22,http://preguntas.habitissimo.es/pregunta/quiero-instalar-una-chimenea-en-mi-casa-pero-no-tengo-salida-de-humo,0.00,0.00,0.79,474000,"0.43,0.28,0.28,0.28,0.43,0.28,0.28,0.56,0.99,0.99,0.99,0.71",1428823267,geo,norelevant
piscinas loser,3,6,40,0.73,http://www.habitissimo.es/loser-piscinas-madrid,0.00,0.00,0.70,13000,"0.78,0.56,0.78,0.99,0.56,0.56,0.33,0.22,0.11,0.22,0.22,0.22",1428236205,nogeo,norelevant
precio metro cuadrado de construccion,3,3,40,0.84,http://preguntas.habitissimo.es/pregunta/precios-metro-cuadrado-de-mano-de-obra,0.00,0.00,0.39,560000,"0.99,0.56,0.71,0.56,0.28,0.28,0.43,0.43,0.43,0.43,0.71,0.71",1428814257,nogeo,norelevant
modelos de chimeneas de leña,3,5,40,0.21,http://fotos.habitissimo.es/chimeneas,0.00,0.00,0.84,207000,"0.09,0.09,0.36,0.36,0.09,0.09,0.27,0.99,0.45,0.18,0.36,0.45",1428814532,geo,norelevant
logos cocina,3,3,40,0.00,http://www.habitissimo.es/muebles-cocina-logos_s,0.00,0.00,0.01,711000,"0.43,0.56,0.71,0.71,0.56,0.28,0.56,0.71,0.71,0.43,0.56,0.99",1428788621,nogeo,norelevant
pintores en castellon,3,6,40,1.10,http://www.habitissimo.es/presupuestos/pintores/castellon,0.00,0.00,0.96,306000,"0.33,0.44,0.99,0.99,0.44,0.22,0.56,0.56,0.33,0.22,0.44,0.22",1428304624,geo,relevant
reformas de baños madrid,3,3,40,1.51,http://precio.habitissimo.es/reformas-banos/madrid,0.00,0.00,0.76,589000,"0.56,0.78,0.56,0.33,0.99,0.33,0.33,0.56,0.44,0.11,0.33,0.22",1428256386,geo,relevant
pintores salamanca,3,3,40,0.97,http://www.habitissimo.es/empresas/pintores/salamanca,0.00,0.00,0.43,579000,"0.60,0.60,0.60,0.99,0.99,0.80,0.99,0.60,0.99,0.40,0.99,0.80",1428457719,geo,relevant
precio mudanza piso,3,3,40,2.24,http://precio.habitissimo.es/mudanzas-viviendas,0.00,0.01,0.88,398000,"0.11,0.33,0.44,0.44,0.33,0.33,0.33,0.44,0.22,0.22,0.56,0.99",1428141071,nogeo,norelevant
tabique cristal,4,3,40,0.82,http://www.habitissimo.es/presupuestos/hacer-tabique-separacion-cristal,0.00,0.00,0.40,295000,"0.56,0.43,0.43,0.43,0.28,0.43,0.71,0.71,0.71,0.43,0.71,0.99",1428457891,nogeo,norelevant
reformas en torrevieja,4,4,40,1.68,http://www.habitissimo.es/empresas/construcciones-reformas/alicante/torrevieja,0.00,0.00,0.85,15400000,"0.99,0.36,0.27,0.18,0.36,0.18,0.27,0.27,0.36,0.64,0.36,0.27",1428641939,geo,relevant
precios parquet flotante,4,4,40,0.59,http://preguntas.habitissimo.es/pregunta/cuanto-costaria-poner-tarima-flotante,0.00,0.00,0.87,122000,"0.80,0.80,0.60,0.20,0.40,0.20,0.60,0.99,0.99,0.99,0.99,0.99",1428615896,nogeo,relevant
trabajos verticales cantabria,4,5,40,1.45,http://www.habitissimo.es/empresas/trabajos-verticales/cantabria,0.00,0.00,0.59,113000,"0.43,0.99,0.71,0.28,0.43,0.28,0.99,0.56,0.56,0.56,0.28,0.71",1428688799,geo,norelevant
precio toldo terraza,4,7,40,0.83,http://precio.habitissimo.es/toldos,0.00,0.00,1.00,373000,"0.78,0.44,0.56,0.99,0.56,0.33,0.11,0.22,0.22,0.33,0.44,0.33",1428391315,nogeo,relevant
montejurra persianas,4,3,40,5.20,http://www.habitissimo.es/persianas-montejurra,0.00,0.02,0.16,2000,"0.60,0.80,0.60,0.80,0.60,0.20,0.80,0.80,0.60,0.99,0.99,0.80",1428774976,nogeo,relevant
televes valencia,4,5,40,0.00,http://www.habitissimo.es/televes/distribuidores/valencia,0.00,0.00,0.19,71000,"0.56,0.14,0.56,0.56,0.99,0.56,0.28,0.43,0.71,0.99,0.71,0.43",1428300607,geo,norelevant
kibuc oiartzun,4,7,40,0.00,http://www.habitissimo.es/kibuc-jarso,0.00,0.00,0.00,2000,"0.28,0.56,0.43,0.28,0.56,0.56,0.56,0.43,0.71,0.71,0.71,0.99",1428351794,geo,norelevant
toldos en pontevedra,4,8,40,1.63,http://www.habitissimo.es/presupuestos/toldos/pontevedra,0.00,0.00,0.75,501000,"0.43,0.71,0.99,0.71,0.71,0.43,0.43,0.43,0.28,0.28,0.28,0.28",1428318940,geo,relevant
precio reforma cocina completa,4,4,40,1.96,http://precio.habitissimo.es/reformas-cocinas,0.00,0.00,0.77,419000,"0.71,0.99,0.56,0.56,0.43,0.56,0.71,0.56,0.71,0.28,0.43,0.43",1428520245,nogeo,relevant
como vestir un armario empotrado por dentro,4,4,40,0.90,http://www.habitissimo.es/presupuestos/vestir-armarios-empotrados,0.00,0.00,0.22,29000,"0.43,0.56,0.43,0.71,0.43,0.71,0.99,0.56,0.56,0.14,0.99,0.99",1428356003,nogeo,norelevant
fotos ducha,4,5,40,0.00,http://fotos.habitissimo.es/foto/plato-de-ducha-de-obra-con-piedra-natural_211841,0.00,0.00,0.42,30900000,"0.99,0.71,0.71,0.43,0.28,0.56,0.43,0.56,0.71,0.43,0.99,0.56",1428285145,nogeo,norelevant
reformas de cocinas en madrid,4,4,40,5.11,http://precio.habitissimo.es/reformas-cocinas/madrid,0.00,0.02,0.77,614000,"0.78,0.99,0.56,0.22,0.56,0.44,0.44,0.56,0.78,0.11,0.22,0.22",1428122969,geo,relevant
alarmas para locales,4,4,40,4.16,http://www.habitissimo.es/presupuestos/instalar-alarmas-local-comercial,0.00,0.01,0.94,935000,"0.80,0.80,0.60,0.40,0.60,0.80,0.99,0.99,0.99,0.60,0.80,0.60",1428136382,nogeo,norelevant
mostaza design,4,5,40,0.00,http://www.habitissimo.es/mostaza-design,0.00,0.00,0.00,577000,"0.56,0.43,0.28,0.71,0.71,0.14,0.99,0.71,0.71,0.56,0.56,0.56",1428251884,nogeo,norelevant
kibuc ourense,4,4,40,0.00,http://www.habitissimo.es/kibuc-ourense,0.00,0.00,0.00,4000,"0.56,0.43,0.43,0.56,0.71,0.56,0.71,0.99,0.99,0.56,0.56,0.28",1428305082,geo,norelevant
reparacion de electrodomesticos barcelona,4,4,40,3.26,http://www.habitissimo.es/presupuestos/reparacion-electrodomesticos/barcelona,0.00,0.01,0.95,383000,"0.99,0.82,0.45,0.36,0.36,0.09,0.27,0.36,0.27,0.27,0.27,0.18",1428395678,geo,relevant
casas contenedores españa,4,7,40,0.34,http://www.habitissimo.es/ideas/15-contenedores-para-vivir-de-forma-alternativa,0.00,0.00,0.64,498000,"0.43,0.43,0.71,0.56,0.43,0.56,0.99,0.71,0.43,0.28,0.71,0.56",1428227635,geo,norelevant
baños con plato ducha,4,12,40,0.95,http://fotos.habitissimo.es/reformas-banos,0.00,0.00,0.44,10200000,"0.10,0.14,0.10,0.10,0.14,0.10,0.10,0.10,0.14,0.10,0.24,0.99",1428174868,nogeo,norelevant
parquet color roble,4,4,40,0.00,http://www.habitissimo.es/presupuestos/parquet-color-roble,0.00,0.00,0.28,355000,"0.99,0.60,0.80,0.80,0.80,0.60,0.60,0.80,0.99,0.60,0.99,0.99",1428300835,nogeo,norelevant
arquitectos tarragona,4,5,40,1.78,http://www.habitissimo.es/empresas/arquitectos/tarragona,0.00,0.00,0.59,686000,"0.71,0.56,0.99,0.43,0.43,0.43,0.43,0.56,0.56,0.14,0.43,0.28",1428154277,geo,norelevant
arreglar tejado,4,2,40,2.88,http://www.habitissimo.es/presupuestos/arreglar-tejado,0.00,0.01,0.83,366000,"0.80,0.99,0.60,0.60,0.99,0.60,0.99,0.99,0.80,0.80,0.80,0.99",1428342935,nogeo,norelevant
microcemento las palmas,4,4,40,1.41,http://www.habitissimo.es/presupuestos/microcemento/las-palmas/las-palmas-de-gran-canaria,0.00,0.00,0.83,94000,"0.56,0.56,0.43,0.56,0.99,0.56,0.56,0.43,0.28,0.28,0.56,0.56",1428814771,geo,norelevant
empresas de estructuras de hormigon,4,4,40,0.91,http://www.habitissimo.es/empresas/estructuras-de-hormigon-armado,0.00,0.00,0.49,400000,"0.60,0.80,0.99,0.60,0.60,0.40,0.99,0.99,0.40,0.40,0.80,0.99",1428289344,nogeo,norelevant
fringe antenas,4,4,40,0.00,http://www.habitissimo.es/fringe/distribuidores,0.00,0.00,0.02,26000,"0.43,0.43,0.56,0.28,0.28,0.28,0.56,0.71,0.99,0.99,0.99,0.71",1428179232,nogeo,norelevant
flex tenerife,4,3,40,0.00,http://www.habitissimo.es/noctalia-flex-santa-cruz-de-tenerife,0.00,0.00,0.03,431000,"0.99,0.60,0.20,0.80,0.99,0.99,0.80,0.60,0.60,0.60,0.60,0.80",1428630221,geo,norelevant
preinstalación de aire acondicionado,4,6,40,3.90,http://www.habitissimo.es/presupuestos/preinstalacion-aire-acondicionado,0.00,0.01,0.56,423000,"0.99,0.43,0.56,0.56,0.28,0.43,0.43,0.56,0.43,0.56,0.71,0.99",1428641653,nogeo,relevant
reformar armario empotrado,4,4,40,1.01,http://www.habitissimo.es/reforma-armario-empotrado_s,0.00,0.00,0.41,1190000,"0.56,0.71,0.43,0.43,0.43,0.71,0.71,0.56,0.56,0.43,0.99,0.99",1428784044,nogeo,relevant
instalacion conductos aire acondicionado,4,4,40,2.17,http://www.habitissimo.es/presupuestos/instalar-solo-conductos-aire-acondicionado,0.00,0.00,0.80,357000,"0.43,0.43,0.71,0.99,0.43,0.43,0.43,0.28,0.28,0.43,0.43,0.56",1428304621,nogeo,relevant
ascensores para casas particulares,4,4,40,1.84,http://precio.habitissimo.es/ascensores,0.00,0.00,0.91,411000,"0.44,0.99,0.22,0.11,0.33,0.33,0.44,0.44,0.56,0.33,0.33,0.33",1428252351,nogeo,norelevant
precio lacar puertas blanco,4,4,40,0.90,http://www.habitissimo.es/presupuestos/lacar-puertas,0.00,0.00,0.50,73000,"0.33,0.11,0.11,0.11,0.22,0.22,0.22,0.33,0.99,0.99,0.78,0.44",1428101952,nogeo,norelevant
papel pintado granada,4,4,40,0.24,http://www.habitissimo.es/papel-pintado-granada_s,0.00,0.00,0.60,208000,"0.56,0.71,0.28,0.56,0.43,0.56,0.71,0.43,0.28,0.28,0.43,0.99",1428356665,geo,relevant
construccion de casa,4,3,40,0.69,http://precio.habitissimo.es/construccion-casas,0.00,0.00,0.76,26600000,"0.28,0.56,0.43,0.43,0.43,0.43,0.43,0.99,0.99,0.43,0.71,0.71",1428409725,nogeo,norelevant
techos decorativos de pladur,4,4,40,0.39,http://fotos.habitissimo.es/pladur,0.00,0.00,0.33,77000,"0.56,0.33,0.22,0.11,0.11,0.11,0.33,0.44,0.78,0.99,0.56,0.78",1428462112,nogeo,norelevant
carpinteria de aluminio valladolid,4,4,40,0.65,http://www.habitissimo.es/presupuestos/carpinteria-aluminio/valladolid,0.00,0.00,0.63,322000,"0.56,0.28,0.99,0.43,0.28,0.43,0.56,0.71,0.56,0.99,0.71,0.43",1428145456,geo,relevant
casas prefabricadas granada,4,4,40,0.20,http://www.habitissimo.es/presupuestos/construccion-casas-prefabricadas/granada,0.00,0.00,0.69,458000,"0.80,0.60,0.80,0.60,0.80,0.99,0.60,0.60,0.60,0.60,0.99,0.99",1428252245,geo,norelevant
cortinas castellon,4,5,40,0.48,http://www.habitissimo.es/empresas/cortinas/castellon,0.00,0.00,0.75,385000,"0.80,0.80,0.99,0.60,0.60,0.99,0.40,0.80,0.80,0.60,0.99,0.80",1428663820,geo,norelevant
precio armarios a medida,4,4,40,0.30,http://precio.habitissimo.es/armarios,0.00,0.00,0.91,625000,"0.71,0.99,0.99,0.56,0.43,0.43,0.71,0.43,0.56,0.28,0.99,0.43",1428779367,nogeo,norelevant
precios de armarios a medida,4,3,40,0.42,http://precio.habitissimo.es/armarios,0.00,0.00,0.94,644000,"0.80,0.40,0.40,0.60,0.80,0.40,0.99,0.40,0.80,0.60,0.99,0.99",1428688731,nogeo,norelevant
biomasa valencia,4,4,40,0.42,http://www.habitissimo.es/presupuestos/instalar-caldera-biomasa-pellets/valencia,0.00,0.00,0.51,437000,"0.80,0.60,0.80,0.60,0.20,0.60,0.80,0.99,0.99,0.60,0.40,0.60",1428741768,geo,norelevant
ite mallorca,4,7,40,1.78,http://www.habitissimo.es/empresas/inspeccion-tecnica-edificios-ite/illes-balears/palma-de-mallorca,0.00,0.00,0.68,153000,"0.56,0.28,0.71,0.71,0.56,0.28,0.99,0.71,0.71,0.43,0.43,0.43",1428155027,nogeo,norelevant
aire acondicionado huelva,4,4,40,0.06,http://www.habitissimo.es/empresas/aire-acondicionado/huelva,0.00,0.00,0.43,17600000,"0.22,0.56,0.78,0.99,0.78,0.33,0.22,0.33,0.44,0.22,0.56,0.33",1428178959,geo,relevant
nova porta,4,3,40,0.00,http://www.habitissimo.es/nova-porta,0.00,0.00,0.10,62200000,"0.80,0.40,0.99,0.80,0.80,0.40,0.80,0.80,0.80,0.60,0.80,0.60",1428437881,nogeo,norelevant
astralpool madrid,4,5,40,0.40,http://www.habitissimo.es/astralpool/distribuidores,0.00,0.00,0.36,86000,"0.21,0.21,0.36,0.99,0.50,0.14,0.14,0.07,0.07,0.07,0.21,0.21",1428136455,geo,norelevant
pintores coruña,4,5,40,2.39,http://www.habitissimo.es/empresas/pintores/a-coruna,0.00,0.01,0.27,526000,"0.71,0.99,0.71,0.71,0.56,0.71,0.56,0.43,0.71,0.28,0.71,0.56",1428334151,geo,relevant
persianas en murcia,4,5,40,1.68,http://www.habitissimo.es/presupuestos/persianas/murcia,0.00,0.00,0.96,485000,"0.14,0.14,0.21,0.14,0.28,0.99,0.28,0.21,0.21,0.21,0.21,0.14",1428482023,geo,relevant
reformas lleida,4,3,40,0.95,http://www.habitissimo.es/empresas/reformas/lleida,0.00,0.00,0.62,1040000,"0.56,0.33,0.11,0.33,0.22,0.33,0.56,0.44,0.22,0.56,0.56,0.99",1428779241,geo,relevant
precios tarimas flotantes,4,3,40,0.72,http://preguntas.habitissimo.es/pregunta/cuanto-costaria-poner-tarima-flotante,0.00,0.00,0.90,82000,"0.56,0.22,0.44,0.22,0.22,0.22,0.22,0.33,0.22,0.99,0.78,0.33",1428395979,nogeo,norelevant
empresas de limpieza en santa cruz de tenerife,4,6,40,0.85,http://www.habitissimo.es/empresas/limpieza/santa-cruz-de-tenerife,0.00,0.00,0.94,667000,"0.28,0.43,0.43,0.71,0.28,0.43,0.71,0.99,0.71,0.14,0.56,0.28",1428323058,geo,norelevant
cambiar parquet,4,4,40,1.00,http://www.habitissimo.es/presupuestos/cambiar-parquet,0.00,0.00,0.63,568000,"0.80,0.60,0.40,0.60,0.60,0.99,0.60,0.60,0.99,0.80,0.99,0.99",1428327235,nogeo,relevant
lacar puertas de madera,4,2,40,0.36,http://preguntas.habitissimo.es/pregunta/lacar-puertas-de-madera-y-sus-marcos,0.00,0.00,0.42,151000,"0.27,0.18,0.18,0.36,0.64,0.45,0.99,0.36,0.27,0.18,0.18,0.18",1428352092,nogeo,norelevant
herreros en madrid,4,4,40,1.12,http://www.habitissimo.es/empresas/herreros/madrid,0.00,0.00,0.40,613000,"0.99,0.80,0.60,0.80,0.80,0.40,0.99,0.80,0.80,0.80,0.80,0.80",1428808172,geo,norelevant
marmolista madrid,4,5,40,0.74,http://www.habitissimo.es/presupuestos/marmolistas/madrid,0.00,0.00,0.83,54000,"0.43,0.56,0.43,0.28,0.71,0.28,0.56,0.56,0.43,0.56,0.28,0.99",1428716919,geo,norelevant
casas prefabricadas gran canaria,4,4,40,0.20,http://www.habitissimo.es/presupuestos/construccion-casas-prefabricadas/las-palmas/las-palmas-de-gran-canaria,0.00,0.00,0.44,149000,"0.28,0.56,0.43,0.71,0.99,0.71,0.99,0.43,0.71,0.43,0.71,0.43",1428702277,nogeo,norelevant
reformas vega,4,3,40,0.00,http://www.habitissimo.es/reformas-vega,0.00,0.00,0.19,813000,"0.99,0.43,0.43,0.43,0.56,0.43,0.56,0.56,0.56,0.56,0.56,0.71",1428548050,nogeo,relevant
precio de puertas de aluminio,4,4,40,0.65,http://precio.habitissimo.es/carpinteria-aluminio,0.00,0.00,0.77,6330000,"0.43,0.28,0.43,0.28,0.28,0.43,0.71,0.99,0.56,0.43,0.99,0.99",1428495473,nogeo,norelevant
presupuesto para reformar un piso,4,2,40,1.69,http://www.habitissimo.es/presupuestos/reformar-piso,0.00,0.00,0.94,446000,"0.71,0.56,0.71,0.56,0.28,0.14,0.56,0.43,0.56,0.14,0.99,0.71",1428241471,nogeo,relevant
hormigon impreso en granada,4,4,40,3.36,http://www.habitissimo.es/presupuestos/hormigon-impreso/granada,0.00,0.01,0.94,76000,"0.99,0.71,0.43,0.43,0.56,0.43,0.28,0.43,0.43,0.28,0.56,0.56",1428683924,geo,norelevant
toldos valdemoro,4,4,40,1.09,http://www.habitissimo.es/presupuestos/toldos/madrid/valdemoro,0.00,0.00,0.90,99000,"0.45,0.64,0.99,0.64,0.27,0.18,0.09,0.09,0.09,0.09,0.09,0.18",1428165531,geo,relevant
reformas pozuelo,4,2,40,0.62,http://www.habitissimo.es/empresas/reformas/madrid/pozuelo-de-alarcon,0.00,0.00,0.84,395000,"0.56,0.43,0.71,0.99,0.71,0.28,0.71,0.43,0.43,0.43,0.56,0.43",1428759191,geo,relevant
marcas de mecanismos electricos,4,4,40,0.26,http://www.habitissimo.es/marcas/interruptores,0.00,0.00,0.44,646000,"0.99,0.75,0.50,0.50,0.99,0.50,0.99,0.75,0.99,0.99,0.99,0.99",1428123060,nogeo,relevant
paelleros de obra modernos,4,2,40,0.11,http://fotos.habitissimo.es/foto/paellero_174584,0.00,0.00,0.26,86000,"0.36,0.99,0.82,0.18,0.18,0.18,0.09,0.18,0.27,0.09,0.18,0.27",1428745708,nogeo,norelevant
cubrir terrazas,4,5,40,0.73,http://www.habitissimo.es/presupuestos/cubrir-terraza,0.00,0.00,0.81,572000,"0.60,0.60,0.80,0.20,0.80,0.80,0.60,0.99,0.80,0.60,0.80,0.60",1428404643,nogeo,norelevant
art deco valencia,4,4,40,0.00,http://www.habitissimo.es/art-deco-1,0.00,0.00,0.10,551000,"0.40,0.20,0.80,0.60,0.60,0.80,0.99,0.99,0.99,0.80,0.80,0.80",1428242630,geo,norelevant
alfombras pamplona,4,3,40,0.25,http://www.habitissimo.es/alfombras-pamplona-iruna_s,0.00,0.00,0.85,231000,"0.99,0.43,0.56,0.56,0.28,0.28,0.56,0.43,0.43,0.71,0.99,0.28",1428807934,geo,norelevant
pedir presupuesto reforma,4,6,40,4.58,http://www.habitissimo.es/presupuestos/reformas,0.00,0.02,0.97,7270000,"0.44,0.22,0.33,0.56,0.56,0.33,0.99,0.99,0.33,0.33,0.44,0.11",1428323022,nogeo,relevant
presupuesto toldo,4,4,40,1.06,http://www.habitissimo.es/presupuestos/toldos,0.00,0.00,0.77,394000,"0.56,0.78,0.99,0.78,0.78,0.33,0.33,0.22,0.11,0.22,0.22,0.33",1428243100,nogeo,relevant
muebles salamanca pozoblanco,4,4,40,0.00,http://www.habitissimo.es/muebles-salamanca-garcia,0.00,0.00,0.14,30000,"0.44,0.22,0.44,0.44,0.56,0.44,0.99,0.78,0.78,0.44,0.22,0.22",1428524662,geo,norelevant
albañiles zaragoza,4,3,40,1.22,http://www.habitissimo.es/empresas/albaniles/zaragoza,0.00,0.00,0.93,407000,"0.71,0.56,0.43,0.28,0.56,0.99,0.43,0.28,0.99,0.56,0.71,0.56",1428818843,geo,relevant
idealstandard,4,4,40,0.00,http://www.habitissimo.es/ideal-standard,0.00,0.00,0.06,1740000,"0.80,0.60,0.60,0.80,0.80,0.60,0.60,0.99,0.99,0.40,0.60,0.80",1428391334,nogeo,norelevant
pintores castellon,4,0,40,0.94,http://www.habitissimo.es/presupuestos/pintores/castellon,0.00,0.00,0.94,306000,"0.99,0.56,0.56,0.43,0.71,0.28,0.56,0.43,0.43,0.28,0.56,0.43",1428092509,geo,relevant
empresas de limpieza vizcaya,4,8,40,1.83,http://www.habitissimo.es/empresas/limpieza/vizcaya,0.00,0.00,0.85,582000,"0.60,0.40,0.60,0.40,0.80,0.60,0.80,0.80,0.99,0.99,0.80,0.99",1428187817,geo,norelevant
