Keyword,Position,Previous Position,Search Volume,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp,geo
presupuesto obra,4,4,140,1.88,http://tumanitas.com/,0.28,0.41,0.73,43500000,"0.65,0.65,0.82,0.99,0.82,0.53,0.82,0.82,0.82,0.65,0.99,0.82",1428728332,nogeo
solicitar presupuestos,9,8,320,1.92,http://tumanitas.com/,0.28,0.41,0.03,18600000,"0.18,0.36,0.82,0.82,0.67,0.99,0.82,0.82,0.82,0.99,0.82,0.67",1428132089,nogeo
precio tapizar sofa,10,7,320,0.17,http://tumanitas.com/trabajos-de/tapizar-sofa,0.28,0.03,0.59,138000,"0.67,0.44,0.54,0.54,0.54,0.67,0.82,0.82,0.99,0.82,0.99,0.99",1428227342,nogeo
presupuesto para reforma,1,1,20,1.94,http://tumanitas.com/,0.27,0.41,0.91,40000000,"0.75,0.50,0.99,0.75,0.50,0.50,0.25,0.25,0.75,0.25,0.50,0.50",1428232396,nogeo
presupuestos de reforma,1,1,20,5.48,http://tumanitas.com/,0.27,1.16,1.00,23700000,"0.99,0.25,0.25,0.50,0.75,0.50,0.25,0.25,0.50,0.50,0.75,0.25",1428737199,nogeo
paginas de reformas,1,1,20,2.50,http://tumanitas.com/,0.27,0.53,0.97,20200000,"0.67,0.67,0.99,0.67,0.33,0.67,0.33,0.67,0.33,0.33,0.99,0.33",1428223445,nogeo
presupuestos profesionales,1,1,20,2.44,http://tumanitas.com/,0.27,0.51,0.59,26200000,"0.33,0.33,0.67,0.33,0.33,0.33,0.67,0.67,0.67,0.33,0.33,0.99",1428400508,nogeo
presupuestos obras,2,2,70,3.06,http://tumanitas.com/,0.26,0.62,0.93,26600000,"0.82,0.99,0.82,0.64,0.45,0.27,0.45,0.64,0.64,0.36,0.64,0.64",1428329386,nogeo
proyectado de poliuretano precio,2,2,70,0.73,http://tumanitas.com/precios-de-reformas/aislamientos/poliuretano-proyectado,0.26,0.15,0.75,122000,"0.28,0.18,0.24,0.18,0.28,0.53,0.65,0.99,0.28,0.12,0.18,0.28",1428433780,nogeo
pide presupuesto,2,2,70,1.73,http://tumanitas.com/pedir-presupuestos.html,0.26,0.35,0.38,1270000,"0.99,0.78,0.78,0.78,0.78,0.56,0.56,0.56,0.78,0.78,0.99,0.99",1428654928,nogeo
reforma baño precio,6,6,170,2.11,http://tumanitas.com/precios-de-reformas/reformas-banos,0.25,0.40,0.87,8200000,"0.66,0.53,0.34,0.22,0.66,0.53,0.53,0.28,0.53,0.66,0.99,0.81",1428847976,nogeo
precio reforma cocina,7,7,210,2.24,http://tumanitas.com/precios-de-reformas/reformas-cocinas,0.24,0.42,0.81,9820000,"0.67,0.54,0.54,0.54,0.44,0.54,0.54,0.54,0.54,0.44,0.99,0.82",1428679059,nogeo
presupuesto de reformas,3,3,90,3.91,http://tumanitas.com/,0.23,0.71,0.88,24100000,"0.82,0.65,0.53,0.99,0.41,0.28,0.65,0.28,0.28,0.53,0.28,0.41",1428343156,nogeo
presupuesto reforma cocina,11,12,170,2.29,http://tumanitas.com/trabajos-de/reformas-cocinas,0.23,0.41,0.86,624000,"0.99,0.65,0.65,0.65,0.65,0.54,0.54,0.65,0.81,0.65,0.81,0.81",1428511173,nogeo
microcemento sika,8,8,260,1.30,http://blog.tumanitas.com/como-revestir-paredes-de-microcemento/,0.23,0.22,0.82,20000,"0.99,0.99,0.81,0.81,0.99,0.81,0.66,0.99,0.81,0.53,0.66,0.66",1428586444,nogeo
precio quitar gotele,10,10,260,1.04,http://tumanitas.com/trabajos-de/quitar-gotele,0.23,0.18,0.74,78000,"0.66,0.66,0.66,0.66,0.53,0.66,0.66,0.81,0.99,0.81,0.99,0.99",1428491113,nogeo
nivel laser leroy merlin,8,5,260,0.23,http://blog.tumanitas.com/nuevo-nivel-laser-quigo-de-bosch/,0.23,0.04,0.67,5000,"0.81,0.54,0.35,0.28,0.44,0.67,0.67,0.54,0.35,0.28,0.81,0.99",1428079482,nogeo
cambiar puertas de casa,4,6,110,0.26,http://tumanitas.com/trabajos-de/cambiar-puertas-de-interior,0.22,0.04,0.65,13200000,"0.99,0.67,0.67,0.10,0.19,0.67,0.67,0.52,0.81,0.81,0.67,0.33",1428547608,nogeo
precio instalacion electrica,4,4,110,2.57,http://tumanitas.com/precios-de-reformas/electricidad/instalaciones-electricas,0.22,0.44,0.46,731000,"0.41,0.41,0.41,0.41,0.41,0.28,0.65,0.53,0.99,0.82,0.99,0.99",1428533580,nogeo
lacar puertas,14,12,1000,0.59,http://tumanitas.com/trabajos-de/lacar-puertas,0.20,0.09,0.44,226000,"0.77,0.68,0.68,0.55,0.55,0.55,0.68,0.68,0.77,0.77,0.99,0.99",1428804056,nogeo
arreglar persiana,14,16,1000,3.77,http://tumanitas.com/trabajos-de/arreglar-persiana,0.20,0.59,0.59,152000,"0.55,0.68,0.68,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.99,0.77",1428473118,nogeo
manitas madrid,6,6,140,1.01,http://tumanitas.com/trabajos-en/madrid,0.20,0.15,0.87,503000,"0.67,0.43,0.67,0.52,0.81,0.81,0.67,0.67,0.81,0.99,0.67,0.67",1428693259,geo
inm lugo,11,9,140,0.00,http://tumanitas.com/manitas/inm-prorei-sl,0.19,0.00,0.00,93000,"0.42,0.35,0.27,0.42,0.35,0.27,0.42,0.54,0.54,0.65,0.81,0.99",1428433380,geo
zocalos de piedra,11,11,140,0.14,http://blog.tumanitas.com/zocalos-de-piedra-perfectos-para-las-humedades/,0.19,0.02,0.22,578000,"0.99,0.99,0.81,0.19,0.42,0.81,0.81,0.35,0.27,0.27,0.54,0.54",1428150254,nogeo
reformar un piso,11,12,140,1.45,http://tumanitas.com/trabajos-de/reforma-vivienda,0.19,0.21,0.79,13600000,"0.81,0.52,0.67,0.52,0.52,0.67,0.81,0.81,0.67,0.52,0.81,0.99",1428329406,nogeo
carpinteria metalica sevilla,11,11,140,0.76,http://tumanitas.com/trabajos-en/sevilla/carpinteria-metalica,0.19,0.11,0.56,248000,"0.99,0.82,0.65,0.82,0.99,0.65,0.82,0.82,0.82,0.65,0.99,0.82",1428314431,geo
reformas precios,2,2,50,2.06,http://tumanitas.com/precios-de-reformas,0.19,0.30,0.97,20000000,"0.56,0.78,0.99,0.56,0.44,0.33,0.44,0.44,0.56,0.33,0.44,0.56",1428650260,nogeo
presupuesto electricidad,2,2,50,1.29,http://tumanitas.com/trabajos-de/electricidad,0.19,0.18,0.49,14600000,"0.71,0.56,0.71,0.43,0.43,0.43,0.56,0.71,0.99,0.28,0.71,0.99",1428218660,nogeo
presupuestos obras y reformas,2,2,50,4.07,http://tumanitas.com/,0.19,0.59,0.89,565000,"0.36,0.99,0.27,0.09,0.36,0.36,0.45,0.45,0.45,0.45,0.36,0.64",1428218281,nogeo
precios reformas,2,2,50,2.88,http://tumanitas.com/precios-de-reformas,0.19,0.42,0.93,19800000,"0.71,0.71,0.43,0.56,0.56,0.99,0.56,0.56,0.71,0.43,0.99,0.99",1428674641,nogeo
